"","TCGA-ZS-A9CD-01A-11R-A37K-07","TCGA-UB-A7MD-01A-12R-A352-07","TCGA-BW-A5NQ-01A-11R-A27V-07","TCGA-DD-AACX-01A-11R-A41C-07","TCGA-GJ-A9DB-01A-11R-A37K-07","TCGA-DD-A1ED-01A-11R-A155-07","TCGA-DD-AAD2-01A-11R-A41C-07","TCGA-DD-AAE9-01A-11R-A41C-07","TCGA-RG-A7D4-01A-12R-A33R-07","TCGA-2Y-A9GW-01A-11R-A38B-07","TCGA-MI-A75G-01A-11R-A32O-07","TCGA-DD-AACH-01A-11R-A41C-07","TCGA-RC-A7SF-01A-11R-A352-07","TCGA-ZS-A9CF-02A-11R-A38B-07","TCGA-ZS-A9CF-01A-11R-A38B-07","TCGA-DD-A73A-01A-12R-A32O-07","TCGA-2Y-A9HB-01A-11R-A39D-07","TCGA-EP-A26S-11A-12R-A16W-07","TCGA-EP-A26S-01A-11R-A16W-07","TCGA-DD-AACK-01A-11R-A41C-07","TCGA-DD-A73E-01A-12R-A32O-07","TCGA-2Y-A9H9-01A-21R-A39D-07","TCGA-KR-A7K0-01A-12R-A33R-07","TCGA-5C-A9VH-01A-11R-A37K-07","TCGA-DD-AAW3-01A-11R-A41C-07","TCGA-DD-AAC8-01A-11R-A41C-07","TCGA-K7-A5RG-01A-11R-A28V-07","TCGA-DD-AACA-02A-11R-A41C-07","TCGA-DD-AACA-01A-11R-A41C-07","TCGA-DD-AACA-02B-11R-A41C-07","TCGA-DD-AADS-01A-11R-A41C-07","TCGA-K7-A5RF-01A-11R-A28V-07","TCGA-DD-AAEH-01A-11R-A41C-07","TCGA-KR-A7K2-01A-12R-A33R-07","TCGA-DD-A4NF-01A-11R-A27V-07","TCGA-DD-A11C-11A-11R-A131-07","TCGA-DD-A11C-01A-11R-A131-07","TCGA-2Y-A9H4-01A-11R-A38B-07","TCGA-K7-A6G5-01A-11R-A311-07","TCGA-DD-A4NI-01A-11R-A27V-07","TCGA-DD-A11A-11A-11R-A131-07","TCGA-DD-A11A-01A-11R-A131-07","TCGA-DD-AACF-01A-11R-A41C-07","TCGA-DD-AAEI-01A-11R-A41C-07","TCGA-DD-A11B-01A-11R-A131-07","TCGA-DD-A11B-11A-11R-A131-07","TCGA-DD-AAW2-01A-11R-A41C-07","TCGA-G3-AAV5-01A-11R-A37K-07","TCGA-DD-A4NO-01A-11R-A28V-07","TCGA-DD-A1EA-01A-11R-A131-07","TCGA-4R-AA8I-01A-11R-A38B-07","TCGA-MI-A75C-01A-11R-A32O-07","TCGA-G3-A25S-01A-11R-A16W-07","TCGA-DD-A39Y-01A-11R-A213-07","TCGA-2Y-A9GX-01A-11R-A38B-07","TCGA-G3-A25V-01A-11R-A16W-07","TCGA-BC-A69H-01A-11R-A311-07","TCGA-G3-A5SL-01A-11R-A27V-07","TCGA-DD-AAEA-01A-11R-A41C-07","TCGA-G3-A3CI-01A-11R-A213-07","TCGA-DD-AACI-01A-11R-A41C-07"
"KAT6A",4.68067878953494,3.82054193873133,4.67009744946136,4.80809266059881,4.6797980836216,4.28574786617028,3.32936174095342,4.16721593259347,3.65074025426328,3.92572278819541,3.99775256969706,5.36026463649472,3.2352380490566,6.06154715930528,5.46056094091297,3.67235576531996,4.02426921457879,3.95246514163376,4.13722572281501,4.72268352735457,4.31934777488503,3.84084386589798,4.199661198544,4.29504437787148,3.93159107212686,4.65753249522668,5.14959833239529,4.73175686030105,5.26303019348293,2.95580530003421,2.75791792307464,4.4512523428755,3.49291657309858,3.52459014125011,4.87757138456259,4.40099816560176,4.17585312975455,3.58288551637402,2.46765603596489,4.50800819693074,4.83389616325177,5.0035301118162,3.52298438115273,2.89768960802054,4.85567276150062,4.15883803343014,3.71807809096295,3.95643690712673,3.53141934258162,5.20580237373471,4.74399016494557,2.71098519140263,2.31468169147233,2.27430111748106,5.44204480925957,3.53214604576663,1.77573888825015,3.58388034395791,3.99186128099515,3.98263809296362,4.09181629847047
"KIF1B",5.01728977096553,6.01516859027838,5.61595169645216,6.32708082150595,5.44696940983131,5.09726807844328,5.25881973385593,5.38953045209674,5.00636805000998,5.08675216718646,5.52281280575123,6.11954404069436,4.68541038474445,6.14398648497584,5.67881483282934,4.40959966193251,5.56576583909261,5.217875484247,5.74764406220667,4.49203921928807,6.4263559345724,5.66867255916599,5.51288497768851,4.67356444808745,5.77173530161506,5.64516844650558,5.26430612850106,5.80014133686335,5.42089109315903,4.51083442531871,4.05934831966972,5.07457064930239,5.33573006114788,4.3127622795994,6.22073496962511,4.74029284071378,5.56245570358747,4.65472966499158,4.82739324562661,5.22636220809416,4.78342247575219,5.61341649167884,5.55944669899085,5.66229951103706,5.09312925548475,5.16634158392236,5.90014607837726,5.58668461676128,5.67616337706403,6.63477076057437,5.96511779870115,4.68714534172848,5.01477772526883,5.79177258164005,5.49165384271461,5.01767293168228,3.86449431279683,5.67176097945455,5.4005699138091,4.86624544106092,5.09186349025784
"BTBD9",2.79247657336651,3.64152286102522,4.0417612929752,3.55128904160504,3.26400292742574,2.91274587345527,2.93180133826033,4.12549280747223,4.16725318278837,2.62987115943455,2.81319493295696,4.12611456620074,2.83656989556476,2.22492316948436,1.10954648468547,2.90793727837031,3.4336482735352,2.961798449158,3.16164553053153,2.78080405500682,4.78060152813853,2.87295901182178,3.25896111047313,3.41574796189356,4.41469449155634,4.21328646610004,3.94809957763523,3.28186940377821,3.44092415450689,2.53101657568806,2.8642069475361,3.21933482976749,3.81502531325853,3.13129244787455,3.79059664413458,2.43363489580889,3.10503725241632,2.71606034361401,2.52754754456878,2.3736075882206,2.7102502043551,4.65473323242231,2.84022880349603,-0.648125112897519,3.67734937967141,3.18262086983285,4.27592721803735,3.1527418062206,3.57433725478014,4.19615176214397,3.4181598776881,3.65831949068719,4.21365572949128,2.90664545081858,3.26642678206718,3.23504574881731,2.39258527848317,3.05239036293801,3.29921027890129,3.29676507926536,3.43355024829012
"KIAA2026",3.1126922212785,3.46463534255688,3.28443641010917,2.97406210428745,2.96276766810356,3.32865054956404,3.12411808943535,2.88910909198345,3.34320883100387,3.49175914890477,2.64858315938434,4.12878488791066,2.17568331793853,4.18769732626493,3.90246897104032,3.29229809396888,3.2385713393829,2.67702972601321,3.79283163917636,3.56246230879111,4.28311645001891,3.01859601355275,3.64052008697703,3.81155785020251,3.96235484822553,3.85379094530862,4.44092388713088,4.174957766003,3.70148606321048,2.35956644158176,1.18463187688013,3.32078036737515,3.29484435364832,3.37351331122733,4.06364171379551,3.48079135246901,3.52395556004674,2.59486571378218,2.63128041619497,3.53151441519736,3.32057787519696,3.80088954386934,2.16296607571909,2.54758659278807,3.29010995347836,2.99990681475825,3.57739893060532,2.47754921775968,3.29244210954257,4.28055773644299,3.74357868467228,2.78115734811814,2.32099871843379,2.14631951258679,4.14431013193967,3.22037385043984,1.51616313760248,3.29343276082512,3.29275337411403,3.54944813490213,1.71861249924636
"GGA3",3.85347506443764,4.29252969754183,5.90512946028015,4.89819535487553,5.08795103702839,3.67135268205267,4.38016824776115,4.06904513894146,5.37483250335759,4.28094562763931,4.22009178836427,4.72193197247712,3.87912602069054,5.51882417359658,5.08457874488241,4.59586901598487,4.48013759108346,2.97547940563698,4.46272726083354,4.23356207513275,5.52411490683148,4.74480048469403,4.35907615321469,5.07276909111199,4.61279604423302,5.35134239768203,4.87182965656328,6.19548018997283,5.57281513427463,5.71767106113555,2.47678507747077,4.0143548018795,3.77245799293757,4.06573991086966,4.22610431163911,3.4388232129612,4.53346656069882,3.92213420482914,3.72995881270129,4.44329888293228,3.3391975621238,4.80659743125981,4.10189818055785,4.11552896058155,4.38063181768306,3.24882212706516,4.47769688248058,5.01878241706393,4.50069925173571,5.25336263111442,5.02555903441626,4.33141738895148,5.17766232920781,4.81658395192658,4.45417281632147,4.12251861155083,4.8978136858655,4.69055040099857,4.68933164930858,3.63293082607887,4.00345446287193
"TRIO",4.69033199721501,5.03227730235098,4.21009514019025,5.53234247587196,6.54212714405961,4.72176804827511,6.12154190551288,3.95273327407202,4.89386559831035,4.81052167313169,4.17060097017332,6.08283347816392,6.06371722260652,6.09220018270553,5.89249963078901,5.39287549429181,5.47152302564541,3.29207756069976,5.11155459860569,5.75769346441145,5.16222954954539,4.77651937364282,4.61051490445823,5.73592962937706,4.90682313423221,5.93887848991361,5.40430929045717,5.66897471884768,4.83899078471879,3.90250807816233,2.33611045708477,4.3945602682523,3.88250876537007,4.26204498276497,4.69346495819309,4.0076789147229,4.8506145396197,4.14236678293247,3.95928344406159,4.97420922498865,4.44913805555844,4.31470947966515,3.91518393189807,4.38369560238156,4.7433640444469,4.39349411378306,4.62986182222992,4.95212019285303,5.64294711165395,6.20845053364002,5.00490505994315,5.27324405953221,3.43929686189549,5.36305292255783,5.87430332470795,4.64064300453098,4.59535111749072,4.61672048862935,5.09020631219344,4.01128499436227,2.9570539155896
"ZNF608",1.47057940854093,1.85196564874582,1.32622396447494,2.00467922615416,3.69834510563091,2.21545091394013,3.39798175580767,-0.34077716874034,1.6140821414916,2.56497410963744,1.14001243470559,4.29491944641109,0.990268185600034,2.38584484227519,2.80083253105137,3.69621391416738,2.39102109929157,0.842356060357202,2.00790275092066,1.96935521058919,3.12003906076178,1.37333768026106,2.29700183213969,3.16991478259254,1.7093109641076,1.00788736069294,3.54282326744206,1.64916236630028,1.64367056847625,0.164106402204654,-0.132732165168599,1.96581761139302,2.22861701662018,2.70028120651088,3.11307772039509,2.29936201578685,2.21251679748016,0.9656424415742,0.412122457698103,1.63022240717304,1.62463326421808,1.39784171314616,1.29618400859059,1.92921038437469,2.60039833480881,1.73904478635307,2.9462643293831,1.75798421227271,2.10715005476472,3.12096751135118,2.5279466969211,2.40693902066573,0.650101728702515,2.98056675893872,2.65995440997336,2.63121232325339,2.48847192234546,0.616087949249771,2.61053967573796,2.44676660254833,0.924704731977729
"ZNRF2P2",-3.12175259479551,-3.26944922986153,-4.02381541944477,-3.58080519203763,-2.70992129940202,-3.54797914904638,-3.38837301945038,-3.63505563366715,-4.60494281134497,-3.97070230234049,-4.60494281134497,-2.42144631652036,-2.46013705335539,-2.3543723254076,-4.60494281134497,-2.88279405048384,-4.06338016988276,-4.60494281134497,-3.52531698400014,-4.09327041270484,-1.98112084280297,-3.75233469843435,-4.60494281134497,-2.38968885774267,-3.816213989716,-4.60494281134497,-4.60494281134497,-3.66064879878356,-3.41190674960892,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-3.62407775294788,-4.1594588108271,-4.60494281134497,-4.60494281134497,-3.80921982233261,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-3.7271256780118,-4.60494281134497,-3.75363372336367,-3.7266436022614,-2.66680986919305,-2.52596626561194,-2.6176574497858,-4.60494281134497,-3.56054024364435,-4.11979019094688,-2.37197491777544,-3.65833487355108,-4.60494281134497,-3.73708023962111,-4.60494281134497,-4.60494281134497,-4.60494281134497
"SLC4A3",-1.92980716936136,-1.58520218446696,-2.61358618731397,-3.58080519203763,-1.03483198559231,-1.84729580797881,0.275968213106584,-3.63505563366715,-2.61820032169089,-0.828968347706275,-4.06906414248291,-0.970950967860809,-3.16603064988122,-3.98486455655555,-1.49905270789212,-1.52213094770448,-1.40332963615567,-3.11621167458642,-2.75769215286608,-3.28882210907027,-2.65306325096383,-1.96398510329695,-1.54942119010445,1.78029863484433,-2.1812813524875,-2.96938077031296,-1.38584130806244,-3.09474342441329,-3.71153720024416,-4.60494281134497,-2.29047814818312,-0.474797595292019,-3.93976243109744,1.10530781083298,-1.59353835282709,-3.04555038318017,-1.27664167196574,-4.60494281134497,-1.21134492123305,-2.49666527382927,-2.81572151374267,-2.99638476839308,-0.469609028856796,-3.01811170742173,-0.636126327519153,-0.783074170008707,-4.60494281134497,-1.44096656183999,-1.86851372035316,-2.94956844549911,-0.567780911290798,-1.70720629267626,-3.22989330306548,-2.06968430839902,0.280171573499653,-1.11942664876393,-3.53615514872295,-3.19899713368024,-2.5314221115702,-1.04408872744018,-0.868797076746252
"SND1",7.86507995408582,8.59454583709531,8.74491777519276,7.84753593157167,8.15182439611038,7.23116047463426,8.0313374190943,8.66273032064058,8.42570603474504,8.09195869435316,8.35649704294602,8.03988740004316,7.16008048014873,6.93981082079914,6.58227095784553,7.51486424614576,7.92941793256396,6.69150077476604,8.77919684364321,8.28865654562769,8.79880666983058,8.51036963750714,8.04657497578959,7.70745721160182,8.28951502453226,8.92543420235717,8.15068167476365,8.31286445819273,8.96036099255454,8.26975944473211,6.44934600890951,7.32004157604145,6.92601015045275,7.67750839874916,7.79678009789342,7.3677668113706,7.98600801799247,7.10901034106007,7.72429838189365,7.50488601258856,7.31304288993334,7.58897252692517,8.45912644195658,8.39265421502594,7.48691482384619,6.95345345108947,8.36499641642121,8.62905316294583,7.66966957404811,8.09641561940556,8.46435021893182,7.7772114991985,7.98124633647899,7.97675688318719,7.6689722930816,8.5378628429274,7.40866768319627,7.82409796814548,7.7831391870776,7.78152590473158,7.89696136161799
