"","seqnames","start","end","width","strand","Conc","Conc_V2084D_shEV","Conc_WT_shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"2596","chr19",18157116,18157516,401,"*",4.52339552772881,3.86055153929309,4.97585187163885,-1.14906969160441,0.00097025596222445,0.00699657213360499,"Promoter (1-2kb)",19,18155622,18170073,14452,1,"5296","ENST00000426902.5",1494,"ENSG00000105647","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","ENST00000593731.1;ENST00000222254.13;ENST00000617642.2;ENST00000617130.5;ENST00000426902.5;ENST00000474310.1;ENST00000600533.2","5296;5296;5296;5296;5296;5296;5296","0;0;0;0;0;0;-4530"
"7","chr10",23192727,23193127,401,"*",4.4436491705151,2.80975713136217,5.19020464262184,-2.40327856938211,4.81357101714142e-09,1.28818036948729e-05,"Promoter (<=1kb)",10,23193271,23194163,893,1,"256297","ENST00000639082.1",-144,"ENSG00000168267","PTF1A","pancreas associated transcription factor 1a","ENST00000376504.4;ENST00000638469.1;ENST00000639082.1;ENST00000639873.1","256297;256297;256297;256297","0;0;-144;-205"
"2119","chr1",12619649,12620049,401,"*",3.32149478065817,2.16727223325623,3.9544067147373,-1.80402268648895,0.00059637282427178,0.00526974156466191,"Promoter (1-2kb)",1,12567910,12618210,50301,2,"9249","ENST00000616661.5",-1439,"ENSG00000162496","DHRS3","dehydrogenase/reductase 3","ENST00000616661.5;ENST00000464917.5;ENST00000482265.1","9249;9249;9249","-1439;-2854;-2953"
"137","chr12",82862064,82862464,401,"*",3.28481239945469,1.00254078446844,4.12833498129873,-3.10374388406061,1.69100123195064e-06,0.000229348877658075,"Intron (ENST00000551915.5/160335, intron 2 of 7)",12,82758555,83134302,375748,1,"160335","ENST00000549919.1",103509,"ENSG00000179104","TMTC2","transmembrane O-mannosyltransferase targeting cadherins 2","ENST00000551915.5;ENST00000321196.8;ENST00000548305.5;ENST00000546590.2;ENST00000549919.1","160335;160335;160335;160335;160335","0;0;0;0;0"
"731","chr15",30191990,30192390,401,"*",3.93155103843706,2.81090886642428,4.55458530270398,-1.76858731270823,4.60644575821692e-05,0.00117729705444442,"Distal Intergenic",15,30195809,30217552,21744,1,"26082","ENST00000648232.1",-3419,"ENSG00000225930","LINC02249","long intergenic non-protein coding RNA 2249","ENST00000648232.1;ENST00000562624.2","26082;26082","0;0"
"2020","chr8",129707919,129708319,401,"*",3.42636064337788,2.32246798132651,4.04435543627576,-1.7413222888433,0.000527629367048948,0.00489068823994455,"Intron (ENST00000646849.1/56169, intron 1 of 7)",8,129685401,129723023,37623,2,"56169","ENST00000646849.1",14704,"ENSG00000147697","GSDMC","gasdermin C","ENST00000646849.1","56169","0"
"182","chr10",75379177,75379577,401,"*",4.7424612758231,3.75642565202717,5.32273878512639,-1.59843740703057,3.36335496559275e-06,0.000344293598745623,"Intron (ENST00000418818.6/84858, intron 1 of 3)",10,75279726,75401246,121521,2,"84858","ENST00000418818.6",21669,"ENSG00000165655","ZNF503","zinc finger protein 503","ENST00000418818.6","84858","0"
"275","chr2",74502950,74503350,401,"*",4.42585546465306,3.3899989658374,5.02257479116066,-1.6625218562348,7.15067727411827e-06,0.000483649169759943,"Promoter (<=1kb)",2,74497517,74503316,5800,2,"85474","ENST00000460508.3",0,"ENSG00000179528","LBX2","ladybird homeobox 2","ENST00000603175.2;ENST00000548978.2;ENST00000465993.5;ENST00000475863.5;ENST00000233630.11;ENST00000489914.1;ENST00000480844.2;ENST00000463744.1;ENST00000496911.1;ENST00000377566.9;ENST00000460508.3;ENST00000341396.2;ENST00000550249.2;ENST00000479098.1","151534;151534;84759;84759;84759;84759;84759;84759;84759;85474;85474;85474;85474;85474","0;0;3801;4066;0;2260;4067;2376;4044;-3347;0;0;0;-3583"
"5186","chr7",5366132,5366532,401,"*",3.55459683832843,2.80575167715495,4.04508511552585,-1.26671190715961,0.00647621443968454,0.0233845268116057,"Intron (ENST00000399537.8/84629, intron 11 of 29)",7,5352002,5362027,10026,2,"84629","ENST00000440081.2",-4105,"ENSG00000182095","TNRC18","trinucleotide repeat containing 18","ENST00000399537.8;ENST00000430969.6;ENST00000440081.2","84629;84629;84629","0;0;-4105"
"5797","chr15",92820437,92820837,401,"*",4.56897614999252,4.08269604321977,4.93202005562393,-0.884654876465908,0.00900289669603198,0.0290748526809737,"Promoter (<=1kb)",15,92819540,92898743,79204,1,"100507217","ENST00000653163.1",897,NA,"CHASERR","CHD2 adjacent suppressive regulatory RNA","ENST00000653163.1","100507217","0"
"4166","chr4",138241849,138242249,401,"*",3.46005983828967,2.58331801905628,4.00147956046728,-1.44248237931145,0.00336662365637704,0.0151312286360151,"Promoter (<=1kb)",4,138164097,138242349,78253,2,"23657","ENST00000280612.9",100,"ENSG00000151012","SLC7A11","solute carrier family 7 member 11","ENST00000280612.9","23657","0"
"48","chr12",12725415,12725815,401,"*",5.0858339581137,4.12591774990343,5.65718382955495,-1.56505305998365,3.16236449301359e-07,0.000121062192051071,"Promoter (<=1kb)",12,12725917,12814199,88283,1,"81575","ENST00000540583.5",-102,"ENSG00000178878","APOLD1","apolipoprotein L domain containing 1","ENST00000684771.1;ENST00000682620.1;ENST00000477087.1;ENST00000614874.2;ENST00000228872.9;ENST00000396340.1;ENST00000442489.1;ENST00000534843.1;ENST00000540583.5;ENST00000326765.10;ENST00000588943.1","1027;1027;1027;1027;1027;1027;1027;51202;81575;81575;81575","0;0;0;0;0;7593;7554;0;0;0;0"
"1697","chr1",38783819,38784219,401,"*",4.67244828372587,3.9986675797275,5.12992512893076,-1.16549586507732,0.000355866068467669,0.00392605362815362,"Intron (ENST00000641481.1/ENST00000641481.1, intron 2 of 3)",1,38839349,38848074,8726,2,"64121","ENST00000474456.1",63855,"ENSG00000116954","RRAGC","Ras related GTP binding C",NA,NA,NA
"33","chr12",56752063,56752463,401,"*",4.8951196219168,3.74844160375338,5.52583815913436,-1.80906715324077,1.78891735492266e-07,9.85571418848646e-05,"Promoter (<=1kb)",12,56731296,56752374,21079,2,"5557","ENST00000672280.1",0,"ENSG00000198056","PRIM1","DNA primase subunit 1","ENST00000672280.1;ENST00000338193.11;ENST00000552590.6;ENST00000550770.1;ENST00000550224.5;ENST00000546761.5;ENST00000548173.5;ENST00000552408.1;ENST00000555159.5;ENST00000555805.5;ENST00000554643.5;ENST00000556650.5;ENST00000554150.5;ENST00000556481.5;ENST00000554155.1","5557;5557;5557;5557;5557;5557;5557;5557;8630;8630;8630;8630;8630;8630;8630","0;0;0;0;0;0;0;-248;0;0;0;0;0;0;-24"
"6824","chr1",150163174,150163574,401,"*",4.18964652535958,3.70060647343861,4.55422004851162,-0.887745468064582,0.0147230319237788,0.0404052969569511,"Intron (ENST00000502767.1/105371433, intron 1 of 2)",1,150159405,150164720,5316,1,"105371433","ENST00000502767.1",3769,NA,"LINC02988","long intergenic non-protein coding RNA 2988","ENST00000502767.1;ENST00000369126.5;ENST00000369124.5;ENST00000479194.5;ENST00000607609.2;ENST00000441340.1;ENST00000485470.1","105371433;51177;51177;51177;51177;51177;51177","0;0;0;12567;9691;6245;6157"
"57","chr12",52051045,52051445,401,"*",4.98882436246584,4.00129142486181,5.56960711929524,-1.60152397151067,3.85262918371403e-07,0.000126333855595219,"Promoter (<=1kb)",12,52051402,52059506,8105,1,"3164","ENST00000243050.5",0,"ENSG00000123358","NR4A1","nuclear receptor subfamily 4 group A member 1","ENST00000548977.5;ENST00000360284.7;ENST00000546842.5;ENST00000545748.5;ENST00000550082.5;ENST00000549102.1;ENST00000478250.1;ENST00000547206.5;ENST00000243050.5;ENST00000550763.1;ENST00000394825.6;ENST00000394824.2;ENST00000548232.1;ENST00000562373.1;ENST00000548733.1;ENST00000550557.1;ENST00000564201.1;ENST00000550339.1","3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164","0;0;0;0;0;0;0;0;0;0;0;0;-3;-14;-18;-1973;-4276;-4577"
"1278","chr19",3987374,3987774,401,"*",3.5535845831623,2.31901097558527,4.20896564874542,-1.90849020255053,0.000176868789879066,0.00259052622424124,"Promoter (1-2kb)",19,3983857,3985463,1607,2,"1938","ENST00000594885.1",-1911,"ENSG00000167658","EEF2","eukaryotic translation elongation factor 2","ENST00000309311.7;ENST00000598436.1;ENST00000600720.1;ENST00000594885.1;ENST00000384048.1","1938;1938;1938;1938;26812","0;-4840;0;0;-4802"
"373","chr9",98119037,98119437,401,"*",4.35694761875689,3.31909420719248,4.95431038431456,-1.6646992526877,1.28492789237758e-05,0.00064359770609383,"Promoter (<=1kb)",9,98069275,98119210,49936,2,"9830","ENST00000375098.7",0,"ENSG00000106785","TRIM14","tripartite motif containing 14","ENST00000343933.9;ENST00000375077.5;ENST00000375098.7;ENST00000341469.7;ENST00000342043.3;ENST00000475147.1;ENST00000478401.1","7464;7464;9830;9830;9830;9830;9830","53447;0;0;0;0;0;0"
