"","seqnames","start","end","width","strand","Conc","Conc_V2084D.shEV","Conc_WT.shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"1","chr19",18157116,18157516,401,"*",4.52339552772881,3.86055153929309,4.97585187163885,-1.14906969160441,0.00097025596222445,0.00699657213360499,"Promoter (1-2kb)",19,18155622,18170073,14452,1,"5296","ENST00000426902.5",1494,"ENSG00000105647","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","ENST00000593731.1;ENST00000222254.13;ENST00000617642.2;ENST00000617130.5;ENST00000426902.5;ENST00000474310.1;ENST00000600533.2","5296;5296;5296;5296;5296;5296;5296","0;0;0;0;0;-3351;-4530"
"2","chr10",23192727,23193127,401,"*",4.4436491705151,2.80975713136217,5.19020464262184,-2.40327856938211,4.81357101714142e-09,1.28818036948729e-05,"Promoter (<=1kb)",10,23193271,23194163,893,1,"256297","ENST00000639082.1",-144,"ENSG00000168267","PTF1A","pancreas associated transcription factor 1a","ENST00000376504.4;ENST00000638469.1;ENST00000639082.1;ENST00000639873.1","256297;256297;256297;256297","0;0;-144;-205"
"3","chr1",12619649,12620049,401,"*",3.32149478065817,2.16727223325623,3.9544067147373,-1.80402268648895,0.00059637282427178,0.00526974156466191,"Promoter (1-2kb)",1,12567910,12618210,50301,2,"9249","ENST00000616661.5",-1439,"ENSG00000162496","DHRS3","dehydrogenase/reductase 3","ENST00000616661.5;ENST00000464917.5;ENST00000482265.1","9249;9249;9249","-1439;-2854;-2953"
"4","chr2",74502950,74503350,401,"*",4.42585546465306,3.3899989658374,5.02257479116066,-1.6625218562348,7.15067727411827e-06,0.000483649169759943,"Promoter (<=1kb)",2,74497517,74503316,5800,2,"85474","ENST00000460508.3",0,"ENSG00000179528","LBX2","ladybird homeobox 2","ENST00000603175.2;ENST00000548978.2;ENST00000465993.5;ENST00000475863.5;ENST00000233630.11;ENST00000489914.1;ENST00000480844.2;ENST00000463744.1;ENST00000496911.1;ENST00000377566.9;ENST00000460508.3;ENST00000341396.2;ENST00000550249.2;ENST00000479098.1","151534;151534;84759;84759;84759;84759;84759;84759;84759;85474;85474;85474;85474;85474","0;0;3801;4066;4345;2260;4067;2376;4044;-3347;0;0;0;-3583"
"5","chr15",92820437,92820837,401,"*",4.56897614999252,4.08269604321977,4.93202005562393,-0.884654876465908,0.00900289669603198,0.0290748526809737,"Promoter (<=1kb)",15,92819540,92898743,79204,1,"100507217","ENST00000653163.1",897,NA,"CHASERR","CHD2 adjacent suppressive regulatory RNA","ENST00000653163.1","100507217","0"
"6","chr4",138241849,138242249,401,"*",3.46005983828967,2.58331801905628,4.00147956046728,-1.44248237931145,0.00336662365637704,0.0151312286360151,"Promoter (<=1kb)",4,138164097,138242349,78253,2,"23657","ENST00000280612.9",100,"ENSG00000151012","SLC7A11","solute carrier family 7 member 11","ENST00000280612.9","23657","0"
"7","chr12",12725415,12725815,401,"*",5.0858339581137,4.12591774990343,5.65718382955495,-1.56505305998365,3.16236449301359e-07,0.000121062192051071,"Promoter (<=1kb)",12,12725917,12814199,88283,1,"81575","ENST00000540583.5",-102,"ENSG00000178878","APOLD1","apolipoprotein L domain containing 1","ENST00000684771.1;ENST00000682620.1;ENST00000477087.1;ENST00000614874.2;ENST00000228872.9;ENST00000396340.1;ENST00000442489.1;ENST00000534843.1;ENST00000540583.5;ENST00000326765.10;ENST00000588943.1","1027;1027;1027;1027;1027;1027;1027;51202;81575;81575;81575","39917;29056;10357;8047;8047;7593;7554;-114;-102;-116;-211"
"8","chr12",56752063,56752463,401,"*",4.8951196219168,3.74844160375338,5.52583815913436,-1.80906715324077,1.78891735492266e-07,9.85571418848646e-05,"Promoter (<=1kb)",12,56731296,56752374,21079,2,"5557","ENST00000672280.1",0,"ENSG00000198056","PRIM1","DNA primase subunit 1","ENST00000672280.1;ENST00000338193.11;ENST00000552590.6;ENST00000550770.1;ENST00000550224.5;ENST00000546761.5;ENST00000548173.5;ENST00000552408.1;ENST00000555159.5;ENST00000555805.5;ENST00000554643.5;ENST00000556650.5;ENST00000554150.5;ENST00000556481.5;ENST00000554155.1","5557;5557;5557;5557;5557;5557;5557;5557;8630;8630;8630;8630;8630;8630;8630","0;0;0;0;0;0;0;-248;0;0;0;0;0;0;-24"
"9","chr12",52051045,52051445,401,"*",4.98882436246584,4.00129142486181,5.56960711929524,-1.60152397151067,3.85262918371403e-07,0.000126333855595219,"Promoter (<=1kb)",12,52051402,52059506,8105,1,"3164","ENST00000243050.5",0,"ENSG00000123358","NR4A1","nuclear receptor subfamily 4 group A member 1","ENST00000548977.5;ENST00000360284.7;ENST00000546842.5;ENST00000545748.5;ENST00000550082.5;ENST00000549102.1;ENST00000478250.1;ENST00000547206.5;ENST00000243050.5;ENST00000550763.1;ENST00000394825.6;ENST00000394824.2;ENST00000548232.1;ENST00000562373.1;ENST00000548733.1;ENST00000550557.1;ENST00000564201.1;ENST00000550339.1","3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164","0;0;0;0;0;0;0;0;0;0;0;0;-3;-14;-18;-1973;-4276;-4577"
"10","chr19",3987374,3987774,401,"*",3.5535845831623,2.31901097558527,4.20896564874542,-1.90849020255053,0.000176868789879066,0.00259052622424124,"Promoter (1-2kb)",19,3983857,3985463,1607,2,"1938","ENST00000594885.1",-1911,"ENSG00000167658","EEF2","eukaryotic translation elongation factor 2","ENST00000309311.7;ENST00000598436.1;ENST00000600720.1;ENST00000594885.1;ENST00000384048.1","1938;1938;1938;1938;26812","-1911;-4840;-2262;-1911;-4802"
"11","chr9",98119037,98119437,401,"*",4.35694761875689,3.31909420719248,4.95431038431456,-1.6646992526877,1.28492789237758e-05,0.00064359770609383,"Promoter (<=1kb)",9,98069275,98119210,49936,2,"9830","ENST00000375098.7",0,"ENSG00000106785","TRIM14","tripartite motif containing 14","ENST00000343933.9;ENST00000375077.5;ENST00000375098.7;ENST00000341469.7;ENST00000342043.3;ENST00000475147.1;ENST00000478401.1","7464;7464;9830;9830;9830;9830;9830","53447;73200;0;0;0;0;0"
"12","chr13",20902461,20902861,401,"*",4.37529647455903,2.70142794694005,5.12940422773713,-2.44943618193662,3.43807726322738e-09,1.28811002744077e-05,"Promoter (<=1kb)",13,20777329,20902746,125418,2,"64328","ENST00000255305.11",0,"ENSG00000132953","XPO4","exportin 4","ENST00000255305.11;ENST00000490513.1;ENST00000465018.1","64328;64328;64328","0;0;0"
"13","chr19",18323074,18323474,401,"*",4.75241155933831,3.85238556795013,5.30244824213215,-1.48294413830165,1.90815615273567e-05,0.00077037692261201,"Promoter (<=1kb)",19,18306236,18323076,16841,2,"25804","ENST00000593829.6",0,"ENSG00000130520","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated","ENST00000593829.6;ENST00000252816.10;ENST00000600289.6;ENST00000594828.7;ENST00000593564.2","25804;25804;25804;25804;25804","0;-3;-14;0;0"
"14","chr6",134673525,134673925,401,"*",3.90753487307094,3.39274553675331,4.28616287863497,-0.926176610564629,0.0201106547389289,0.0501775299979164,"Promoter (<=1kb)",6,134520163,134673960,153798,2,"101928304","ENST00000650393.1",35,"ENSG00000232310","LINC03002","long intergenic non-protein coding RNA 3002","ENST00000650393.1;ENST00000655921.2;ENST00000665479.1;ENST00000702656.1;ENST00000661776.1","101928304;101928304;101928304;101928304;101928304","0;0;0;0;0"
"15","chr15_KI270850v1_alt",121400,121800,401,"*",3.0440594518279,2.58329992170644,3.39274101340119,-0.838234108351035,0.109802411227293,0.173536536701331,"Promoter (1-2kb)",333,113267,122964,9698,2,"100505679","ENST00000610645.1",1164,"ENSG00000259511","UBE2Q2P16","UBE2Q2 pseudogene 16","ENST00000610645.1","100505679","0"
"16","chr16",1705770,1706170,401,"*",4.86904558266447,4.16361294775662,5.34074440559983,-1.21181018997753,0.000140355558735198,0.00225109647413224,"Promoter (<=1kb)",16,1706166,1752983,46818,1,"23162","ENST00000685674.1",0,"ENSG00000138834","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","ENST00000685674.1;ENST00000250894.8;ENST00000673691.1;ENST00000356010.9;ENST00000610761.2;ENST00000564098.5;ENST00000685565.1;ENST00000561765.1;ENST00000562684.5;ENST00000248098.8;ENST00000562569.1","23162;23162;23162;23162;23162;23162;23162;23162;90861;90861;90861","0;-13;-13;-23;-25;-71;-170;-209;27493;27491;20270"
"17","chr2",68045385,68045785,401,"*",3.55549788910687,2.17271504201364,4.24839069068905,-2.09094184085204,6.01158348705282e-05,0.00136008446211305,"Promoter (<=1kb)",2,68042714,68046568,3855,2,"10438","ENST00000479484.1",783,"ENSG00000197223","C1D","C1D nuclear receptor corepressor","ENST00000355848.7;ENST00000410067.8;ENST00000407324.5;ENST00000409302.1;ENST00000479484.1;ENST00000485709.1;ENST00000470189.2","10438;10438;10438;10438;10438;10438;105374789","0;0;0;0;0;0;65163"
"18","chr1",8525899,8526299,401,"*",3.4257371948355,2.90478654776367,3.80767120122498,-0.933071578442662,0.0457118031215299,0.0905283644037441,"Promoter (<=1kb)",1,8352406,8525939,173534,2,"473","ENST00000377464.5",0,"ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats","ENST00000337907.7;ENST00000400908.7;ENST00000377464.5;ENST00000400907.6;ENST00000656437.1;ENST00000464972.5;ENST00000659924.1;ENST00000480342.5;ENST00000507012.1","473;473;473;473;473;473;473;473;473","0;0;0;0;0;0;0;0;0"
"19","chr19",37469139,37469539,401,"*",4.28507562179321,3.80760858041688,4.6432045476964,-0.870149403125283,0.0154104255976543,0.0416390455388516,"Promoter (<=1kb)",19,37411170,37469270,58101,2,"148266","ENST00000448051.7",0,"ENSG00000196437","ZNF569","zinc finger protein 569","ENST00000392149.6;ENST00000316950.11;ENST00000448051.7;ENST00000592490.5;ENST00000591710.5;ENST00000591073.1;ENST00000587363.1;ENST00000586475.5;ENST00000591380.1;ENST00000588644.5;ENST00000330173.6;ENST00000590664.5;ENST00000589725.1","148266;148266;148266;148266;148266;148266;148268;148268;148268;148268;148268;148268;148268","0;0;0;0;0;0;0;0;0;0;0;0;-32"
"20","chr3",188947785,188948185,401,"*",3.95404691046421,2.80499633279547,4.58545681097028,-1.80524524506431,3.95025504003195e-05,0.00108029383452436,"Promoter (<=1kb)",3,188941196,188947679,6484,2,"100874043","ENST00000444488.2",-106,NA,"TPRG1-AS1","TPRG1 antisense RNA 1","ENST00000444488.2;ENST00000433971.5","100874043;285386","-106;0"
"21","chr1",210232328,210232728,401,"*",4.34024998770362,3.32455648400374,4.93040594811204,-1.63540899414957,1.43389097024349e-05,0.00067490149611988,"Promoter (<=1kb)",1,210232796,210246255,13460,1,"56256","ENST00000367012.4",-68,"ENSG00000082497","SERTAD4","SERTA domain containing 4","ENST00000367012.4;ENST00000490620.5;ENST00000475406.5;ENST00000703020.1;ENST00000437764.5;ENST00000480052.1","56256;56256;574036;574036;574036;574036","-68;-4554;0;0;0;0"
"22","chr21",46184447,46184847,401,"*",4.76809356737136,4.08706796369982,5.2288657797734,-1.17629238097927,0.000226213879452251,0.00301398620467924,"Promoter (<=1kb)",21,46161148,46184476,23329,2,"84221","ENST00000330205.10",0,"ENSG00000160284","SPATC1L","spermatogenesis and centriole associated 1 like","ENST00000356396.8;ENST00000491729.1;ENST00000397728.8;ENST00000419093.5;ENST00000457828.6;ENST00000474319.1;ENST00000330205.10;ENST00000291672.6","4047;4047;4047;4047;4047;4047;84221;84221","43975;8640;43927;9733;43977;8523;0;0"
"23","chr22",21952631,21953031,401,"*",4.0440380783404,3.45856363808604,4.45933147927891,-1.03333511541647,0.00803975879941304,0.0270053436595669,"Promoter (<=1kb)",22,21919425,21952848,33424,2,"9647","ENST00000263212.10",0,"ENSG00000100034","PPM1F","protein phosphatase, Mg2+/Mn2+ dependent 1F","ENST00000458178.2;ENST00000357179.10;ENST00000457270.5;ENST00000457179.5;ENST00000398793.6;ENST00000444502.5;ENST00000436282.1;ENST00000263212.10;ENST00000397495.8;ENST00000497072.1","100286925;8940;8940;8940;8940;8940;8940;9647;9647;9647","0;29756;15709;29759;29719;29759;14619;0;0;0"
"24","chr10",104121293,104121693,401,"*",4.49046779509175,3.94872919171511,4.88339781269323,-0.969351645034241,0.00564059782762091,0.0212906143672824,"Promoter (<=1kb)",10,104122058,104123363,1306,1,"119392","ENST00000463224.5",-365,"ENSG00000156384","SFR1","SWI5 dependent homologous recombination repair protein 1","ENST00000463224.5;ENST00000369729.7;ENST00000369727.4","119392;119392;119392","-365;-365;-478"
"25","chr3",28348840,28349240,401,"*",5.08788484095472,4.25025508619487,5.61439227041843,-1.39864509019699,8.11026581397339e-06,0.000515015625400554,"Promoter (<=1kb)",3,28349146,28435157,86012,1,"152098","ENST00000420223.5",0,"ENSG00000206559","ZCWPW2","zinc finger CW-type and PWWP domain containing 2","ENST00000383768.7;ENST00000420223.5;ENST00000635992.1;ENST00000479665.6;ENST00000295748.7;ENST00000463512.5;ENST00000334100.10;ENST00000420543.6;ENST00000457172.5;ENST00000414162.5;ENST00000415852.1","152098;152098;152098;64343;64343;64343;64343;64343;64343;64343;64343","0;0;0;-16;-50;0;-211;0;-21;0;-363"
