"","seqnames","start","end","width","strand","Conc","Conc_V2084D.shEV","Conc_WT.shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"2586","chr19",18157116,18157516,401,"*",4.52339548764983,3.86055320614594,4.97585104364789,-1.14906719996144,0.000972266652821299,0.00701858513391487,"Promoter (1-2kb)",19,18155622,18170073,14452,1,"5296","ENST00000426902.5",1494,"ENSG00000105647","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","ENST00000593731.1;ENST00000222254.13;ENST00000617642.2;ENST00000617130.5;ENST00000426902.5;ENST00000474310.1;ENST00000600533.2","5296;5296;5296;5296;5296;5296;5296","0;0;0;0;0;0;-4530"
"7","chr10",23192727,23193127,401,"*",4.44365063517577,2.80976252977289,5.19020535180531,-2.40327388662061,4.7620980666921e-09,1.27045973422107e-05,"Promoter (<=1kb)",10,23193271,23194163,893,1,"256297","ENST00000639082.1",-144,"ENSG00000168267","PTF1A","pancreas associated transcription factor 1a","ENST00000376504.4;ENST00000638469.1;ENST00000639082.1;ENST00000639873.1","256297;256297;256297;256297","0;0;-144;-205"
"2101","chr1",12619649,12620049,401,"*",3.32149641685876,2.16728191514022,3.95440601971706,-1.80401232872283,0.000593859845679998,0.00527532584033784,"Promoter (1-2kb)",1,12567910,12618210,50301,2,"9249","ENST00000616661.5",-1439,"ENSG00000162496","DHRS3","dehydrogenase/reductase 3","ENST00000616661.5;ENST00000464917.5;ENST00000482265.1","9249;9249;9249","-1439;-2854;-2953"
"277","chr2",74502950,74503350,401,"*",4.42585424196856,3.38999236700906,5.0225753023421,-1.66252895680982,7.19754829802109e-06,0.000481347730131307,"Promoter (<=1kb)",2,74497517,74503316,5800,2,"85474","ENST00000460508.3",0,"ENSG00000179528","LBX2","ladybird homeobox 2","ENST00000603175.2;ENST00000548978.2;ENST00000465993.5;ENST00000475863.5;ENST00000233630.11;ENST00000489914.1;ENST00000480844.2;ENST00000463744.1;ENST00000496911.1;ENST00000377566.9;ENST00000460508.3;ENST00000341396.2;ENST00000550249.2;ENST00000479098.1","151534;151534;84759;84759;84759;84759;84759;84759;84759;85474;85474;85474;85474;85474","0;0;3801;4066;0;2260;4067;2376;4044;-3347;0;0;0;-3583"
"5772","chr15",92820437,92820837,401,"*",4.56897770821238,4.08270391085646,4.93201811182322,-0.884645077356951,0.00899126106848367,0.0290801426203815,"Promoter (<=1kb)",15,92819540,92898743,79204,1,"100507217","ENST00000653163.1",897,NA,"CHASERR","CHD2 adjacent suppressive regulatory RNA","ENST00000653163.1","100507217","0"
"4143","chr4",138241849,138242249,401,"*",3.46005593576137,2.58332980123125,4.00146978885414,-1.44246085972963,0.00334612270935865,0.0150757157050115,"Promoter (<=1kb)",4,138164097,138242349,78253,2,"23657","ENST00000280612.9",100,"ENSG00000151012","SLC7A11","solute carrier family 7 member 11","ENST00000280612.9","23657","0"
"48","chr12",12725415,12725815,401,"*",5.08583297297824,4.12591552923921,5.65718327187959,-1.56505472073306,3.10097452517364e-07,0.000119374859475387,"Promoter (<=1kb)",12,12725917,12814199,88283,1,"81575","ENST00000540583.5",-102,"ENSG00000178878","APOLD1","apolipoprotein L domain containing 1","ENST00000684771.1;ENST00000682620.1;ENST00000477087.1;ENST00000614874.2;ENST00000228872.9;ENST00000396340.1;ENST00000442489.1;ENST00000534843.1;ENST00000540583.5;ENST00000326765.10;ENST00000588943.1","1027;1027;1027;1027;1027;1027;1027;51202;81575;81575;81575","0;0;0;0;0;7593;7554;0;0;0;0"
"33","chr12",56752063,56752463,401,"*",4.89511963810014,3.7484548704936,5.52583430998368,-1.80905005858108,1.74368059186469e-07,9.83710317576663e-05,"Promoter (<=1kb)",12,56731296,56752374,21079,2,"5557","ENST00000672280.1",0,"ENSG00000198056","PRIM1","DNA primase subunit 1","ENST00000672280.1;ENST00000338193.11;ENST00000552590.6;ENST00000550770.1;ENST00000550224.5;ENST00000546761.5;ENST00000548173.5;ENST00000552408.1;ENST00000555159.5;ENST00000555805.5;ENST00000554643.5;ENST00000556650.5;ENST00000554150.5;ENST00000556481.5;ENST00000554155.1","5557;5557;5557;5557;5557;5557;5557;5557;8630;8630;8630;8630;8630;8630;8630","0;0;0;0;0;0;0;-248;0;0;0;0;0;0;-24"
"57","chr12",52051045,52051445,401,"*",4.98882405730643,4.00128913581965,5.56960748310413,-1.60152662101608,3.82493053056457e-07,0.000124850965564044,"Promoter (<=1kb)",12,52051402,52059506,8105,1,"3164","ENST00000243050.5",0,"ENSG00000123358","NR4A1","nuclear receptor subfamily 4 group A member 1","ENST00000548977.5;ENST00000360284.7;ENST00000546842.5;ENST00000545748.5;ENST00000550082.5;ENST00000549102.1;ENST00000478250.1;ENST00000547206.5;ENST00000243050.5;ENST00000550763.1;ENST00000394825.6;ENST00000394824.2;ENST00000548232.1;ENST00000562373.1;ENST00000548733.1;ENST00000550557.1;ENST00000564201.1;ENST00000550339.1","3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164;3164","0;0;0;0;0;0;0;0;0;0;0;0;-3;-14;-18;-1973;-4276;-4577"
"1266","chr19",3987374,3987774,401,"*",3.55359147124391,2.31903181882212,4.20896877148621,-1.9084725123561,0.000174472963326765,0.00257165161020311,"Promoter (1-2kb)",19,3983857,3985463,1607,2,"1938","ENST00000594885.1",-1911,"ENSG00000167658","EEF2","eukaryotic translation elongation factor 2","ENST00000309311.7;ENST00000598436.1;ENST00000600720.1;ENST00000594885.1;ENST00000384048.1","1938;1938;1938;1938;26812","0;-4840;0;0;-4802"
